Year,Major,HR,Age,Height,Gender,Under_Psychology,Under_ResearchMethods,Under_Math,Under_DataAnalysis,Meaning,Open,Con,Ext,Agr,Neu
3,1,74,21,67,2,3,3,2,3,6.2,4.333333333,3.666666667,2,2,2.666666667
3,1,77,20,69,2,4,4,3,2,5.6,4.333333333,4.333333333,3.333333333,2.666666667,4.666666667
2,1,71,20,67,2,3,3,3,1,6,3.666666667,4,3.666666667,3.333333333,2.666666667
3,1,78,20,68,2,4,3,2,1,5.8,3.666666667,4,3.666666667,3.666666667,3
2,2,73,19,66,2,3,2,3,1,6,3.333333333,3.666666667,4.666666667,3.333333333,4.666666667
3,1,54,21,72,2,3,4,3,2,4.6,3.333333333,3.333333333,2.666666667,4,3.333333333
3,1,78,21,62,2,3,3,3,2,2.2,3.333333333,4.666666667,4.333333333,4.333333333,4
2,2,57,19,69,1,4,3,4,3,6,3.333333333,3.666666667,3.333333333,5,2.333333333
3,2,66,21,66,1,3,3,3,2,5,5,4,3.333333333,4.333333333,3.333333333
3,1,70,20,62,2,3,3,3,1,2,3,3,4,4,4.666666667
2,2,60,19,66,2,4,4,3,3,3.8,4.333333333,3.333333333,2.666666667,4,4.333333333
3,2,78,23,73,1,4,3,4,4,6.4,4.333333333,3.666666667,4.666666667,3.333333333,3.333333333
2,2,72,19,67,2,4,4,3,2,3.6,4.666666667,3.333333333,4.333333333,4.333333333,4.333333333
3,1,71,20,75,1,4,3,3,2,6,3,3.333333333,4.333333333,4,2.333333333
3,2,93,20,61,2,4,3,3,2,4.4,4.333333333,4,4.333333333,3.333333333,4
2,1,65,19,66,2,3,3,3,2,6.2,3,3.333333333,3.333333333,4,5
3,1,96,20,66,2,4,3,4,2,4.6,4.666666667,4,1.333333333,4.666666667,5
3,1,91,22,66,2,4,3,3,1,5.4,3,2.666666667,3.666666667,3,3.666666667
3,1,55,20,73,1,3,2,2,2,4,3.333333333,3,1,4,3.333333333
3,1,68,21,53,2,3,3,2,1,4.2,3,3.666666667,3.333333333,2.666666667,4.333333333
4,1,71,22,66,2,4,3,2,2,2.2,3.666666667,4.333333333,2,3.333333333,3.333333333
2,1,54,19,63,2,3,3,3,2,1,4.333333333,3.666666667,1.666666667,3.666666667,5
2,1,76,19,66,2,3,2,3,2,4.4,4,4,3.666666667,5,4.666666667
2,1,78,20,63,2,3,3,3,1,4.8,5,2.666666667,5,4.666666667,5
2,1,44,20,71,1,3,3,3,2,5.2,4.666666667,3.666666667,5,5,3.333333333
2,1,68,20,67,2,3,3,2,2,3.4,2.666666667,4,2,4.666666667,4.666666667
3,2,34,27,63,2,4,4,2,1,5.2,4,3.666666667,4.333333333,4,4.666666667
2,2,71,20,66,2,2,2,2,2,2.4,4.666666667,3.333333333,3.666666667,4.333333333,4.333333333
2,1,61,19,68,2,3,3,3,2,4,3.333333333,4,2.333333333,4.666666667,4
3,1,72,21,66,2,3,3,3,2,4.6,4,4,2,4.666666667,4.333333333
3,2,64,22,61,2,2,3,2,1,1,1.333333333,3,2.333333333,4.666666667,5
2,1,80,19,67,2,2,2,3,2,3.6,3.666666667,4,5,3.666666667,4.666666667
